"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Fam19a1",0,1.20977515611927,0.765,0.141,0,"0","Fam19a1"
"Nwd2",0,0.963363379657219,0.677,0.184,0,"0","Nwd2"
"Lingo2",0,0.946489768591743,0.927,0.401,0,"0","Lingo2"
"Rgs6",0,0.856160920328517,0.677,0.22,0,"0","Rgs6"
"Kcnip4",0,0.851946108577543,0.963,0.558,0,"0","Kcnip4"
"Slit3",0,0.785019288361489,0.888,0.403,0,"0","Slit3"
"Nptxr",0,0.785004781322859,0.761,0.283,0,"0","Nptxr"
"Camk2a",0,0.771702205524551,0.973,0.651,0,"0","Camk2a"
"Camk2d",0,0.767398268849526,0.829,0.381,0,"0","Camk2d"
"Chrm3",0,0.758363598446879,0.678,0.285,0,"0","Chrm3"
"Schip1",0,0.749907714971906,0.904,0.47,0,"0","Schip1"
"A830036E02Rik",0,0.746890909239685,0.717,0.273,0,"0","A830036E02Rik"
"Slc30a3",0,0.744242559857498,0.644,0.191,0,"0","Slc30a3"
"BC030499",0,0.742998790169969,0.566,0.152,0,"0","BC030499"
"2900055J20Rik",0,0.742494462149204,0.86,0.488,0,"0","2900055J20Rik"
"Sorbs2",0,0.739856794839771,0.963,0.644,0,"0","Sorbs2"
"Cacng3",0,0.737466248637756,0.801,0.381,0,"0","Cacng3"
"Car10",0,0.712991958316314,0.844,0.364,0,"0","Car10"
"Cntnap5a",0,0.698513204562322,0.675,0.265,0,"0","Cntnap5a"
"Rad51ap2",0,0.658061037922575,0.528,0.153,0,"0","Rad51ap2"
"Cpne6",0,0.65647174368155,0.641,0.226,0,"0","Cpne6"
"Epha10",0,0.654272869204217,0.628,0.269,0,"0","Epha10"
"Epha6",0,0.652530052713255,0.622,0.302,0,"0","Epha6"
"Cacna2d1",0,0.639662158474166,0.949,0.583,0,"0","Cacna2d1"
"Rgs7",0,0.636516144675342,0.846,0.459,0,"0","Rgs7"
"Lrfn5",0,0.633911443123036,0.909,0.552,0,"0","Lrfn5"
"Kcnj6",0,0.632675568879586,0.767,0.325,0,"0","Kcnj6"
"Csmd1",0,0.628139419912649,0.98,0.684,0,"0","Csmd1"
"Car4",0,0.625473605128488,0.467,0.099,0,"0","Car4"
"Ak5",0,0.621345178630777,0.734,0.316,0,"0","Ak5"
"Lamp5",0,0.619208288863177,0.578,0.233,0,"0","Lamp5"
"Dlgap2",0,0.617158267671902,0.944,0.603,0,"0","Dlgap2"
"Dab1",0,0.60328282430993,0.831,0.45,0,"0","Dab1"
"Trpc6",0,0.593379132745778,0.278,0.062,0,"0","Trpc6"
"Lrrtm4",0,0.591180351673031,0.68,0.305,0,"0","Lrrtm4"
"Unc5d",0,0.585601409273064,0.634,0.231,0,"0","Unc5d"
"Rasgrf2",0,0.580143661085534,0.478,0.128,0,"0","Rasgrf2"
"Ppm1e",0,0.580104616526335,0.845,0.419,0,"0","Ppm1e"
"Kcnk9",0,0.572335268291909,0.625,0.237,0,"0","Kcnk9"
"Grasp",0,0.570243793371348,0.551,0.222,0,"0","Grasp"
"Ptprd",0,0.568023085714999,0.996,0.834,0,"0","Ptprd"
"Cdk14",0,0.561706151748267,0.725,0.308,0,"0","Cdk14"
"Erc2",0,0.560319831728876,0.917,0.574,0,"0","Erc2"
"Epha5",0,0.55845156205029,0.946,0.664,0,"0","Epha5"
"Rasl10a",0,0.558091525794286,0.408,0.095,0,"0","Rasl10a"
"Gabra2",0,0.556264148381772,0.726,0.363,0,"0","Gabra2"
"Mef2c",0,0.555860214918157,0.965,0.663,0,"0","Mef2c"
"Miat",0,0.555441383266226,0.871,0.454,0,"0","Miat"
"Dlgap1",0,0.55308253855216,0.989,0.728,0,"0","Dlgap1"
"Pea15a",0,0.553013938653224,0.732,0.348,0,"0","Pea15a"
"Enc1",0,0.552606848589167,0.626,0.261,0,"0","Enc1"
"Sphkap",0,0.549228570536959,0.609,0.215,0,"0","Sphkap"
"Syt17",0,0.548469141180658,0.392,0.072,0,"0","Syt17"
"Cux2",0,0.540617187974779,0.441,0.116,0,"0","Cux2"
"Prkg1",0,0.535545433509002,0.59,0.222,0,"0","Prkg1"
