Gene name	Gene type
mt-Tp	Mt_tRNA
mt-Tt	Mt_tRNA
mt-Cytb	protein_coding
mt-Te	Mt_tRNA
mt-Nd6	protein_coding
mt-Nd5	protein_coding
mt-Tl2	Mt_tRNA
mt-Ts2	Mt_tRNA
mt-Th	Mt_tRNA
mt-Nd4	protein_coding
mt-Nd4l	protein_coding
mt-Tr	Mt_tRNA
mt-Nd3	protein_coding
mt-Tg	Mt_tRNA
mt-Co3	protein_coding
mt-Atp6	protein_coding
mt-Atp8	protein_coding
mt-Tk	Mt_tRNA
mt-Co2	protein_coding
mt-Td	Mt_tRNA
mt-Ts1	Mt_tRNA
mt-Co1	protein_coding
mt-Ty	Mt_tRNA
mt-Tc	Mt_tRNA
mt-Tn	Mt_tRNA
mt-Ta	Mt_tRNA
mt-Tw	Mt_tRNA
mt-Nd2	protein_coding
mt-Tm	Mt_tRNA
mt-Tq	Mt_tRNA
mt-Ti	Mt_tRNA
mt-Nd1	protein_coding
mt-Tl1	Mt_tRNA
mt-Rnr2	Mt_rRNA
mt-Tv	Mt_tRNA
mt-Rnr1	Mt_rRNA
mt-Tf	Mt_tRNA
Gm24984	snoRNA
Gm24616	snoRNA
Gm24261	snRNA
Gm22166	miRNA
Mir450-2	miRNA
Gm23047	snoRNA
Gm24014	snRNA
Gm25149	miRNA
Gm23555	snoRNA
Mir6359	miRNA
Gm24155	miRNA
Gm22952	snoRNA
Mir7649	miRNA
Gm22514	misc_RNA
Gm27441	miRNA
Gm27668	misc_RNA
Gm24274	snRNA
Gm24946	snRNA
Gm22618	snRNA
Gm24371	misc_RNA
Mir1954	miRNA
Actl10	protein_coding
Gm22594	snoRNA
Gm26502	snoRNA
Gm26478	snRNA
Gm23460	snRNA
Mir6400	miRNA
Gm25884	snRNA
Gm24999	miRNA
Gm23558	rRNA
n-R5s40	rRNA
Gm26458	snoRNA
Gm27507	misc_RNA
n-R5s113	rRNA
Mir221	miRNA
Gm25670	snRNA
Gm25224	snoRNA
Gm25059	snoRNA
Gm24502	snRNA
n-R5s19	rRNA
Mir680-3	miRNA
Gm22823	snRNA
Gm24337	snoRNA
Gm27892	miRNA
Gm25334	snRNA
Gm4883	processed_pseudogene
Mir29b-1	miRNA
Gm23841	miRNA
Gm22870	snoRNA
n-R5s6	rRNA
Gm23265	snoRNA
Gm22730	snRNA
Gm23363	miRNA
Gm22949	miRNA
Gm24714	miRNA
Gm24775	snRNA
Gm22035	misc_RNA
Gm22044	snRNA
Mir3084-2	miRNA
Gm23031	snRNA
Mir671	miRNA
Mir6909	miRNA
Mir669p-2	miRNA
Gm26259	miRNA
Mir669l	miRNA
Gm25879	snRNA
Gm23587	snRNA
n-R5s213	rRNA
Gm24614	snRNA
Gm22159	snoRNA
Gm23273	snoRNA
Gm23446	snoRNA
Gm22836	snRNA
Gm24242	snRNA
Gm22321	snRNA
Mir804	miRNA
Rnu7	snRNA
Gm23437	snoRNA
Gm25272	snoRNA
Gm25817	miRNA
Gm25528	snoRNA
Gm23738	snRNA
Gm22034	snoRNA
Gm28019	miRNA
Gm24415	snRNA
Gm23411	snRNA
Gm24253	snoRNA
Gm23564	miRNA
Gm22713	snRNA
Gm24103	miRNA
Gm22573	snRNA
Gm23079	snoRNA
Gm22544	snoRNA
Gm24718	scaRNA
Gm27541	miRNA
n-R5s27	rRNA
Mir433	miRNA
Gm27342	snRNA
Gm25651	snoRNA
Gm23992	miRNA
Gm25606	rRNA
Gm24200	snRNA
Mir708	miRNA
Gm24491	snRNA
Mir692-3	miRNA
Gm26922	snoRNA
Mir467a-3	miRNA
Gm23288	miRNA
Gm23250	misc_RNA
Mir7035	miRNA
Gm24267	snRNA
Mir7061	miRNA
Gm24019	snRNA
Gm25771	snoRNA
Mir431	miRNA
Gm26091	snRNA
Rnu3a	snoRNA
Mir718	miRNA
Gm27313	miRNA
Gm26312	snRNA
Gm25141	snRNA
Gm25913	scaRNA
Gm25569	snoRNA
Gm23931	miRNA
Gm24734	misc_RNA
Gm23193	miRNA
Mir186	miRNA
Snord116l11	snoRNA
Gm25214	snoRNA
Gm23991	snoRNA
Gm25417	snoRNA
Mir218-2	miRNA
Gm24384	snRNA
Gm26475	miRNA
Gm23753	snRNA
Gm22205	snoRNA
Mir1964	miRNA
Gm22783	snRNA
Gm26060	miRNA
Mir7067	miRNA
Mir411	miRNA
Gm24439	snoRNA
Gm23465	misc_RNA
Rnu3b3	snoRNA
Gm27864	miRNA
Gm22527	rRNA
Snora23	snoRNA
Gm25090	snoRNA
Gm49799	misc_RNA
Gm23618	snoRNA
Gm22258	snoRNA
Mir466b-5	miRNA
Gm24535	snRNA
Gm25267	snRNA
Gm23256	miRNA
Gm24943	ribozyme
Gm24239	misc_RNA
Gm23787	snoRNA
Gm24567	miRNA
Gm24756	miRNA
Gm22067	snRNA
Gm23442	snoRNA
Gm27595	rRNA
Gm22642	misc_RNA
Mirlet7c-2	miRNA
Mir7094-2	miRNA
Mir136	miRNA
Gm22207	misc_RNA
Gm25609	snRNA
Gm22519	snoRNA
Mir488	miRNA
Gm25434	scaRNA
Gm23859	snRNA
Gm44327	miRNA
Gm23053	miRNA
Mir6940	miRNA
Gm24437	snRNA
Mir106b	miRNA
Gm27399	miRNA
Gm22503	snRNA
Gm26378	snRNA
Gm44297	miRNA
Gm44381	miRNA
Mir7219	miRNA
Gm22956	snRNA
Gm22697	miRNA
Mir6988	miRNA
Gm25729	rRNA
Gm22236	snRNA
Gm26220	miRNA
Gm23201	snoRNA
Gm23340	snoRNA
Gm23518	snRNA
Gm26214	snRNA
Gm27903	miRNA
Gm23747	snoRNA
Gm26100	snoRNA
Gm24161	snoRNA
CAAA01098150.1	miRNA
Gm25656	snRNA
Gm22175	miRNA
Gm25014	snRNA
Gm25161	snoRNA
Gm22180	miRNA
Snord89	snoRNA
Gm24431	snoRNA
n-R5s96	rRNA
Mir3070b	miRNA
n-R5s200	rRNA
Gm24132	miRNA
Gm23040	snRNA
Gm22218	snRNA
Mir1934	miRNA
Gm24456	snRNA
Gm26365	snoRNA
Gm22717	snRNA
Gm25019	miRNA
CAAA01019125.1	snRNA
Gm27617	misc_RNA
Gm25538	snRNA
Gm23434	snRNA
Gm24072	snRNA
Gm23048	snoRNA
Gm24269	miRNA
Gm22193	snoRNA
Gm27979	misc_RNA
Gm27402	misc_RNA
Gm25795	snoRNA
Gm23655	snRNA
Gm25604	snoRNA
Gm22733	snRNA
Mirlet7b	miRNA
Gm22731	rRNA
Gm23515	snRNA
Gm23759	misc_RNA
Mir6413	miRNA
Mir30c-2	miRNA
Gm25836	snoRNA
Mir7076	miRNA
Mir688	miRNA
Snora61	snoRNA
Gm24690	rRNA
Gm23612	miRNA
Gm23543	snRNA
Gm22639	miRNA
Gm24902	snoRNA
Mir7687	miRNA
n-R5s179	rRNA
Gm44375	miRNA
Gm27792	rRNA
Gm25097	snRNA
Mir7015	miRNA
Gm25934	snoRNA
Gm47297	miRNA
Gm24316	snRNA
Gm23448	snRNA
Gm25299	miRNA
n-R5s111	rRNA
Gm26326	snoRNA
Gm23712	snRNA
Gm22565	miRNA
Gm26143	snRNA
Snord23	snoRNA
Mir3470b	miRNA
Gm44413	miRNA
Gm27326	snoRNA
Gm26439	snRNA
Mir6540	miRNA
Gm26232	snRNA
Gm26486	rRNA
Gm27580	misc_RNA
Gm22575	snRNA
Mir7011	miRNA
Gm24339	snoRNA
Gm23346	snoRNA
Gm27585	misc_RNA
Gm26157	rRNA
Gm25693	miRNA
Gm24828	rRNA
Gm27521	snRNA
Gm23622	snRNA
Gm24713	snRNA
Gm26466	snoRNA
Gm22812	snoRNA
Mir6974	miRNA
Gm25878	snoRNA
Gm25074	snoRNA
Gm22392	snRNA
Gm25081	snRNA
Mir465b-2	miRNA
Gm23251	miRNA
Gm27543	misc_RNA
Gm22498	snoRNA
Gm24457	snRNA
Gm23497	snRNA
Gm23065	rRNA
Gm26126	snRNA
Gm25442	miRNA
Gm24944	snoRNA
Mir1933	miRNA
Gm24173	snoRNA
Gm25829	snRNA
Gm24406	snoRNA
Gm27511	misc_RNA
Gm22165	snRNA
Gm22615	snoRNA
Gm26352	snoRNA
Gm24145	snRNA
Gm25780	misc_RNA
Gm22486	snoRNA
Gm22051	miRNA
Mir6968	miRNA
Gm25455	misc_RNA
Gm27396	snRNA
Gm23504	snRNA
Gm23845	snRNA
Gm22967	misc_RNA
DQ267100	snoRNA
